# Rime user dictionary
#@/db_name	pinyin_simp.userdb
#@/db_type	userdb
#@/rime_version	1.5.3
#@/tick	818
#@/user_id	RimeConfig
a 	啊	c=1 d=1 t=181
qu zhi 	取值	c=1 d=1 t=334
quan zhi gao shou 	全职高手	c=1 d=1 t=763
qun 	群	c=1 d=0.99005 t=818
rang 	让	c=1 d=1 t=560
rang ren 	让人	c=1 d=1 t=760
ren 	人	c=1 d=1 t=343
ren gong 	人工	c=1 d=1 t=593
ren yuan 	人员	c=1 d=1 t=686
rong he 	融合	c=1 d=0.640824 t=818
rong he pin yin 	融合拼音	c=1 d=1 t=156
rong yu 	冗余	c=1 d=1 t=578
ru guo 	如果	c=2 d=1.96561 t=809
ru he 	如何	c=1 d=1 t=490
ru men 	入门	c=1 d=1 t=480
ruo shui 	若水	c=0 d=0.190722 t=818
san ge 	三个	c=1 d=1 t=359
sao 	扫	c=0 d=0.1 t=205
sao yi xia 	扫一下	c=1 d=1 t=206
sha 	啥	c=1 d=1 t=258
shan 	善	c=0 d=0.0955997 t=818
shan chu 	删除	c=11 d=7.6522 t=682
shang 	上	c=2 d=0.829047 t=818
shang qu 	上去	c=1 d=1 t=220
shang shan 	上山	c=0 d=0.0951229 t=818
shang shan ruo shui hou de zai wu 	上善若水厚德载物	c=1 d=0.960789 t=818
shang shan ruo shui hou de zai wu 	上山若水厚德载物	c=1 d=0.955997 t=818
she ding 	设定	c=0 d=0.0839457 t=818
she ding zhong 	设定中	c=1 d=0.843665 t=818
she zhi 	设置	c=6 d=2.22604 t=818
shen me 	什么	c=5 d=1.44993 t=818
shen se 	深色	c=1 d=1 t=770
sheng ming 	声明	c=1 d=0.625002 t=818
sheng pi zi 	生僻字	c=1 d=0.985112 t=818
shi 	式	c=0 d=0.1 t=503
shi 	是	c=8 d=2.71128 t=803
shi er 	十二	c=1 d=1 t=540
shi ji 	实际	c=1 d=1 t=728
shi jian 	事件	c=1 d=1 t=559
shi jian 	实践	c=1 d=1 t=542
shi jian 	时间	c=1 d=1 t=194
shi jue 	视觉	c=1 d=1 t=756
shi lai ke 	史莱克	c=1 d=1 t=751
shi qing 	事情	c=1 d=1 t=774
shi shi 	试试	c=1 d=1 t=207
shi xian 	实现	c=2 d=1.92774 t=798
shi yong 	使用	c=3 d=0.615697 t=818
shou ci 	首次	c=3 d=1.0441 t=818
shou ji hao 	手机号	c=1 d=1 t=650
shu 	数	c=1 d=1 t=344
shu biao 	鼠标	c=1 d=1 t=558
shu ju 	数据	c=15 d=10.4993 t=498
shu liang 	数量	c=3 d=2.66217 t=818
shu ru 	输入	c=6 d=2.16101 t=818
shu ru fa 	输入法	c=7 d=3.25584 t=818
shu zu 	数组	c=1 d=1 t=502
si xiang 	思想	c=1 d=1 t=793
sou gou 	搜狗	c=7 d=2.77261 t=818
su yu 	俗语	c=2 d=1.19128 t=818
sui ji 	随机	c=4 d=2.73141 t=463
suo you 	所有	c=2 d=1.91393 t=606
tao 	讨	c=1 d=1 t=166
tao bao 	淘宝	c=1 d=1 t=221
teng xun shi pin 	腾讯视频	c=1 d=1 t=255
ti jiao 	提交	c=2 d=1.04934 t=818
tian jia 	添加	c=3 d=0.749025 t=818
tong bu 	同步	c=1 d=1.05123 t=284
tong bu cang ku 	同步仓库	c=1 d=1 t=285
tong shi 	同事	c=1 d=1 t=254
tong shi 	同时	c=2 d=1.86071 t=277
tou xiang 	头像	c=1 d=1 t=731
tu 	图	c=1 d=0.740818 t=818
tu pian 	图片	c=3 d=1.67114 t=818
tui chu 	退出	c=1 d=1.09048 t=627
tui chu xi tong 	退出系统	c=1 d=1 t=608
tui dao 	推导	c=0 d=0.1 t=503
tui dao shi 	推导式	c=2 d=1.80252 t=548
tui jian 	推荐	c=1 d=1 t=747
uhuohuohuohuo 	燚	c=1 d=1 t=818
ujiongyue 	朙	c=1 d=1 t=509
wai guan 	外观	c=1 d=1 t=527
wan shi da ji 	万事大吉	c=1 d=1 t=384
wang le 	忘了	c=1 d=1 t=225
wei 	为	c=9 d=3.1583 t=818
wei ruan 	微软	c=1 d=0.970446 t=818
wen dang 	文档	c=1 d=0.913931 t=818
wen jian 	文件	c=7 d=2.03492 t=818
wen ti 	问题	c=1 d=1 t=239
wo 	我	c=10 d=3.65076 t=507
wu 	无	c=0 d=0.126054 t=657
wu bian kuang 	无边框	c=1 d=1 t=658
wu shu ju 	无数据	c=1 d=1 t=389
xi bao 	细胞	c=2 d=0.980199 t=818
xi huan 	喜欢	c=1 d=0.895834 t=818
xi tong 	系统	c=3 d=1.7189 t=614
xia 	下	c=1 d=1 t=298
xia biao 	下标	c=3 d=2.19829 t=499
xia zai 	下载	c=6 d=2.15778 t=818
xian 	先	c=1 d=1 t=476
xian shi 	显示	c=3 d=1.97521 t=818
xian zai 	现在	c=1 d=1 t=256
xiao guo 	效果	c=1 d=0.737123 t=818
xiao lang hao 	小狼毫	c=3 d=1.54545 t=818
xin cun 	新村	c=1 d=1 t=159
xin xi 	信息	c=4 d=1.5177 t=818
xin zeng 	新增	c=3 d=1.58314 t=642
xing bie 	性别	c=2 d=1.74082 t=708
xing ming 	姓名	c=6 d=5.28191 t=706
xiong di lian 	兄弟连	c=1 d=1 t=467
xiu gai 	修改	c=7 d=2.11983 t=818
xiu gai hou 	修改后	c=1 d=1 t=689
xu fei 	续费	c=2 d=1.99005 t=230
xu hao 	序号	c=1 d=1 t=621
xu lie 	序列	c=1 d=1 t=449
xu yao 	需要	c=1 d=1 t=468
xuan 	选	c=1 d=1 t=183
xuan yong 	选用	c=1 d=0.852144 t=818
xuan ze 	选择	c=2 d=1.92774 t=625
xue hao 	学号	c=1 d=1 t=651
xue sheng 	学生	c=1 d=1 t=595
xue xi 	学习	c=3 d=1.36742 t=815
xue yuan 	学员	c=13 d=9.75479 t=703
xun huan 	循环	c=3 d=1.43855 t=623
yan se 	颜色	c=1 d=1 t=584
yan wen zi 	颜文字	c=1 d=0.697676 t=818
yan yu 	谚语	c=1 d=0.715338 t=818
yang shi 	样式	c=1 d=1 t=580
yao 	要	c=4 d=3.654 t=695
yao you 	要有	c=1 d=1 t=795
ye 	也	c=3 d=0.856415 t=818
ye bu hui 	也不会	c=1 d=1 t=461
ye ke yi 	也可以	c=1 d=1 t=251
ye yao 	也要	c=1 d=1 t=537
yi 	已	c=3 d=2.96117 t=677
yi cun zai 	已存在	c=1 d=1 t=655
yi dong 	移动	c=1 d=1 t=579
yi fen 	一份	c=1 d=1 t=478
yi ge 	一个	c=4 d=2.49516 t=496
yi ji 	以及	c=1 d=0.548812 t=818
yi nei 	以内	c=1 d=1 t=799
yi xia 	一下	c=1 d=1.06561 t=205
yi zhong 	一种	c=1 d=1 t=791
yin xiang 	印象	c=1 d=1 t=373
ying xiang 	影响	c=0 d=0.1 t=754
yong 	用	c=3 d=1.62383 t=434
yong hu 	用户	c=3 d=2.70882 t=652
yong le 	用了	c=1 d=1 t=522
you 	又	c=1 d=1 t=229
you 	有	c=3 d=1.42017 t=385
you shu ju 	有数据	c=1 d=1 t=386
you wu 	有误	c=1 d=1 t=635
you xi 	游戏	c=6 d=3.46186 t=712
yuan 	原	c=2 d=1.2818 t=818
yuan ban 	原版	c=1 d=0.559898 t=818
yuan zu 	元组	c=4 d=2.57979 t=497
yun xu 	允许	c=0 d=0.1 t=420
zai 	在	c=2 d=1.69613 t=818
zeng jia 	增加	c=5 d=1.20492 t=818
zhan 	站	c=3 d=2.3219 t=818
zhang 	张	c=1 d=1 t=440
zhang hao 	帐号	c=1 d=1 t=174
zhe 	这	c=0 d=0.1 t=186
zhe bu shi 	这不是	c=1 d=1 t=187
zhe ge 	这个	c=5 d=2.03564 t=518
zheng chang 	正常	c=1 d=1 t=252
zheng he 	整合	c=1 d=1 t=268
zhi 	之	c=1 d=1 t=715
zhi 	值	c=2 d=1.94176 t=501
zhi chi 	支持	c=0 d=0.1 t=424
zhi hou 	之后	c=1 d=1 t=626
zhi jia 	之家	c=1 d=1 t=741
zhi jie 	直接	c=3 d=1.57768 t=818
zhi neng 	只能	c=2 d=1.96079 t=441
zhi neng 	智能	c=1 d=1 t=594
zhi qian 	之前	c=1 d=1 t=245
zhi xing 	执行	c=2 d=1.97531 t=817
zhi zhi chi 	只支持	c=1 d=1 t=368
zhong 	中	c=2 d=0.957663 t=818
zhong wen 	中文	c=1 d=1 t=337
zhong yao 	重要	c=1 d=1 t=493
zhong ying 	中英	c=1 d=0.551563 t=818
zhong ying wen 	中英文	c=1 d=0.937067 t=818
zhu cheng xu 	主程序	c=1 d=1 t=612
zhu shi 	注释	c=3 d=0.782705 t=818
zhu xun huan 	主循环	c=1 d=1 t=554
zhu yi li 	注意力	c=2 d=1.97531 t=767
zhuan you 	专有	c=1 d=0.543351 t=818
zhui jia 	追加	c=1 d=1 t=442
zi dai 	自带	c=1 d=0.771052 t=818
zi dian 	字典	c=7 d=6.59038 t=413
zi ding yi 	自定义	c=2 d=0.882497 t=818
zi dong 	自动	c=1 d=1 t=227
zi fu chuan 	字符串	c=2 d=1.45158 t=486
zi ji 	自己	c=5 d=1.52823 t=818
zi ku 	字库	c=2 d=1.20233 t=818
zi liao 	资料	c=1 d=1 t=470
zui da 	最大	c=1 d=1 t=487
zui jin 	最近	c=1 d=1 t=561
zui xiao 	最小	c=1 d=1 t=488
zui zhong 	最终	c=1 d=1 t=725
zuo wei 	作为	c=1 d=1 t=279
zuo zhe 	作者	c=2 d=1.28822 t=818
